Posortowane wyrazy Slownika

Slowo: the	Czestosc: 16734
Slowo: of	Czestosc: 11903
Slowo: to	Czestosc: 6935
Slowo: and	Czestosc: 4990
Slowo: in	Czestosc: 4193
Slowo: a	Czestosc: 3882
Slowo: be	Czestosc: 3833
Slowo: that	Czestosc: 2764
Slowo: is	Czestosc: 2148
Slowo: which	Czestosc: 2067
Slowo: it	Czestosc: 2048
Slowo: by	Czestosc: 1732
Slowo: as	Czestosc: 1624
Slowo: The	Czestosc: 1308
Slowo: or	Czestosc: 1286
Slowo: have	Czestosc: 1254
Slowo: would	Czestosc: 1249
Slowo: will	Czestosc: 1245
Slowo: for	Czestosc: 1226
Slowo: not	Czestosc: 1211
Slowo: this	Czestosc: 1193
Slowo: their	Czestosc: 1079
Slowo: with	Czestosc: 1062
Slowo: are	Czestosc: 1027
Slowo: from	Czestosc: 1018
Slowo: on	Czestosc: 925
Slowo: an	Czestosc: 890
Slowo: States	Czestosc: 824
Slowo: may	Czestosc: 819
Slowo: government	Czestosc: 811
Slowo: been	Czestosc: 798
Slowo: they	Czestosc: 796
Slowo: all	Czestosc: 709
Slowo: State	Czestosc: 703
Slowo: other	Czestosc: 656
Slowo: its	Czestosc: 626
Slowo: has	Czestosc: 596
Slowo: power	Czestosc: 589
Slowo: more	Czestosc: 579
Slowo: any	Czestosc: 570
Slowo: at	Czestosc: 563
Slowo: than	Czestosc: 552
Slowo: them	Czestosc: 546
Slowo: one	Czestosc: 516
Slowo: people	Czestosc: 514
Slowo: It	Czestosc: 502
Slowo: can	Czestosc: 466
Slowo: no	Czestosc: 457
Slowo: must	Czestosc: 452
Slowo: those	Czestosc: 449
Slowo: but	Czestosc: 435
Slowo: who	Czestosc: 414
Slowo: we	Czestosc: 401
Slowo: most	Czestosc: 398
Slowo: such	Czestosc: 392
Slowo: these	Czestosc: 388
Slowo: so	Czestosc: 384
Slowo: I	Czestosc: 382
Slowo: upon	Czestosc: 378
Slowo: his	Czestosc: 360
Slowo: if	Czestosc: 356
Slowo: there	Czestosc: 348
Slowo: same	Czestosc: 347
Slowo: should	Czestosc: 339
Slowo: Constitution	Czestosc: 338
Slowo: against	Czestosc: 330
Slowo: was	Czestosc: 329
Slowo: every	Czestosc: 320
Slowo: national	Czestosc: 320
Slowo: might	Czestosc: 318
Slowo: federal	Czestosc: 309
Slowo: Union	Czestosc: 309
Slowo: In	Czestosc: 305
Slowo: under	Czestosc: 305
Slowo: our	Czestosc: 300
Slowo: into	Czestosc: 299
Slowo: only	Czestosc: 298
Slowo: public	Czestosc: 289
Slowo: authority	Czestosc: 287
Slowo: were	Czestosc: 272
Slowo: ought	Czestosc: 271
Slowo: had	Czestosc: 268
Slowo: But	Czestosc: 263
Slowo: This	Czestosc: 256
Slowo: general	Czestosc: 255
Slowo: some	Czestosc: 253
Slowo: powers	Czestosc: 250
Slowo: shall	Czestosc: 249
Slowo: between	Czestosc: 243
Slowo: time	Czestosc: 242
Slowo: great	Czestosc: 240
Slowo: could	Czestosc: 235
Slowo: less	Czestosc: 233
Slowo: part	Czestosc: 231
Slowo: each	Czestosc: 231
Slowo: men	Czestosc: 229
Slowo: New	Czestosc: 227
Slowo: If	Czestosc: 226
Slowo: members	Czestosc: 224
Slowo: well	Czestosc: 224
Slowo: body	Czestosc: 222
Slowo: number	Czestosc: 222
Slowo: us	Czestosc: 218
Slowo: particular	Czestosc: 214
Slowo: United	Czestosc: 208
Slowo: different	Czestosc: 208
Slowo: first	Czestosc: 206
Slowo: legislative	Czestosc: 202
Slowo: two	Czestosc: 202
Slowo: laws	Czestosc: 198
Slowo: without	Czestosc: 196
Slowo: To	Czestosc: 195
Slowo: very	Czestosc: 191
Slowo: necessary	Czestosc: 190
Slowo: York	Czestosc: 190
Slowo: made	Czestosc: 190
Slowo: subject	Czestosc: 185
Slowo: he	Czestosc: 184
Slowo: either	Czestosc: 184
Slowo: cases	Czestosc: 182
Slowo: legislature	Czestosc: 181
Slowo: own	Czestosc: 181
Slowo: convention	Czestosc: 179
Slowo: governments	Czestosc: 175
Slowo: much	Czestosc: 171
Slowo: case	Czestosc: 171
Slowo: what	Czestosc: 170
Slowo: A	Czestosc: 169
Slowo: too	Czestosc: 167
Slowo: plan	Czestosc: 167
Slowo: executive	Czestosc: 167
Slowo: citizens	Czestosc: 167
Slowo: Senate	Czestosc: 165
Slowo: far	Czestosc: 162
Slowo: And	Czestosc: 161
Slowo: latter	Czestosc: 158
Slowo: several	Czestosc: 157
Slowo: themselves	Czestosc: 153
Slowo: even	Czestosc: 152
Slowo: proper	Czestosc: 149
Slowo: rights	Czestosc: 146
Slowo: common	Czestosc: 145
Slowo: therefore	Czestosc: 145
Slowo: cannot	Czestosc: 144
Slowo: when	Czestosc: 143
Slowo: foreign	Czestosc: 143
Slowo: THE	Czestosc: 141
Slowo: another	Czestosc: 141
Slowo: No	Czestosc: 140
Slowo: where	Czestosc: 140
Slowo: interests	Czestosc: 139
Slowo: place	Czestosc: 139
Slowo: liberty	Czestosc: 139
Slowo: new	Czestosc: 139
Slowo: law	Czestosc: 138
Slowo: itself	Czestosc: 138
Slowo: proposed	Czestosc: 138
Slowo: influence	Czestosc: 136
Slowo: former	Czestosc: 136
Slowo: being	Czestosc: 135
Slowo: They	Czestosc: 134
Slowo: over	Czestosc: 132
Slowo: objects	Czestosc: 131
Slowo: representatives	Czestosc: 131
Slowo: danger	Czestosc: 130
Slowo: little	Czestosc: 130
Slowo: nature	Czestosc: 130
Slowo: good	Czestosc: 130
Slowo: courts	Czestosc: 129
Slowo: 1	Czestosc: 129
Slowo: whole	Czestosc: 127
Slowo: nations	Czestosc: 127
Slowo: form	Czestosc: 127
Slowo: both	Czestosc: 127
Slowo: make	Czestosc: 126
Slowo: many	Czestosc: 124
Slowo: found	Czestosc: 124
Slowo: man	Czestosc: 124
Slowo: greater	Czestosc: 124
Slowo: constitution	Czestosc: 124
Slowo: political	Czestosc: 123
Slowo: country	Czestosc: 123
Slowo: system	Czestosc: 122
Slowo: interest	Czestosc: 121
Slowo: provision	Czestosc: 121
Slowo: President	Czestosc: 119
Slowo: war	Czestosc: 119
Slowo: within	Czestosc: 118
Slowo: Congress	Czestosc: 117
Slowo: necessity	Czestosc: 114
Slowo: America	Czestosc: 114
Slowo: though	Czestosc: 114
Slowo: force	Czestosc: 114
Slowo: security	Czestosc: 113
Slowo: among	Czestosc: 113
Slowo: circumstances	Czestosc: 112
Slowo: There	Czestosc: 112
Slowo: means	Czestosc: 110
Slowo: course	Czestosc: 110
Slowo: peace	Czestosc: 109
Slowo: yet	Czestosc: 109
Slowo: respect	Czestosc: 108
Slowo: causes	Czestosc: 108
Slowo: single	Czestosc: 108
Slowo: As	Czestosc: 107
Slowo: reason	Czestosc: 106
Slowo: principle	Czestosc: 105
Slowo: view	Czestosc: 104
Slowo: situation	Czestosc: 102
Slowo: right	Czestosc: 102
Slowo: often	Czestosc: 102
Slowo: however	Czestosc: 101
Slowo: whether	Czestosc: 101
Slowo: jurisdiction	Czestosc: 101
Slowo: degree	Czestosc: 100
Slowo: nor	Czestosc: 100
Slowo: still	Czestosc: 100
Slowo: proportion	Czestosc: 99
Slowo: certain	Czestosc: 99
Slowo: also	Czestosc: 99
Slowo: never	Czestosc: 99
Slowo: principles	Czestosc: 99
Slowo: present	Czestosc: 98
Slowo: last	Czestosc: 98
Slowo: her	Czestosc: 97
Slowo: nation	Czestosc: 96
Slowo: others	Czestosc: 96
Slowo: sense	Czestosc: 95
Slowo: give	Czestosc: 95
Slowo: local	Czestosc: 95
Slowo: objection	Czestosc: 95
Slowo: question	Czestosc: 94
Slowo: important	Czestosc: 94
Slowo: object	Czestosc: 93
Slowo: do	Czestosc: 93
Slowo: least	Czestosc: 93
Slowo: out	Czestosc: 93
Slowo: From	Czestosc: 92
Slowo: spirit	Czestosc: 92
Slowo: point	Czestosc: 91
Slowo: trial	Czestosc: 91
Slowo: him	Czestosc: 91
Slowo: department	Czestosc: 91
Slowo: constitutional	Czestosc: 90
Slowo: extent	Czestosc: 90
Slowo: persons	Czestosc: 90
Slowo: judiciary	Czestosc: 90
Slowo: long	Czestosc: 89
Slowo: equal	Czestosc: 89
Slowo: majority	Czestosc: 89
Slowo: now	Czestosc: 89
Slowo: People	Czestosc: 88
Slowo: FEDERALIST	Czestosc: 88
Slowo: society	Czestosc: 88
Slowo: side	Czestosc: 87
Slowo: you	Czestosc: 86
Slowo: Executive	Czestosc: 85
Slowo: because	Czestosc: 85
Slowo: few	Czestosc: 85
Slowo: true	Czestosc: 84
Slowo: always	Czestosc: 84
Slowo: PUBLIUS	Czestosc: 84
Slowo: answer	Czestosc: 84
Slowo: advantage	Czestosc: 84
Slowo: kind	Czestosc: 83
Slowo: experience	Czestosc: 83
Slowo: treaties	Czestosc: 83
Slowo: conduct	Czestosc: 83
Slowo: whose	Czestosc: 82
Slowo: legislatures	Czestosc: 82
Slowo: House	Czestosc: 82
Slowo: state	Czestosc: 82
Slowo: likely	Czestosc: 81
Slowo: manner	Czestosc: 81
Slowo: exercise	Czestosc: 81
Slowo: administration	Czestosc: 81
Slowo: Britain	Czestosc: 80
Slowo: appointment	Czestosc: 80
Slowo: Confederation	Czestosc: 80
Slowo: given	Czestosc: 80
Slowo: like	Czestosc: 80
Slowo: act	Czestosc: 80
Slowo: OF	Czestosc: 79
Slowo: measures	Czestosc: 79
Slowo: three	Czestosc: 78
Slowo: community	Czestosc: 78
Slowo: essential	Czestosc: 78
Slowo: effect	Czestosc: 77
Slowo: appear	Czestosc: 77
Slowo: propriety	Czestosc: 76
Slowo: branch	Czestosc: 76
Slowo: thing	Czestosc: 76
Slowo: then	Czestosc: 76
Slowo: years	Czestosc: 76
Slowo: sufficient	Czestosc: 76
Slowo: departments	Czestosc: 75
Slowo: considered	Czestosc: 75
Slowo: large	Czestosc: 75
Slowo: jury	Czestosc: 75
Slowo: judges	Czestosc: 75
Slowo: parties	Czestosc: 74
Slowo: able	Czestosc: 74
Slowo: consideration	Czestosc: 74
Slowo: constitutions	Czestosc: 74
Slowo: happen	Czestosc: 73
Slowo: Project	Czestosc: 73
Slowo: best	Czestosc: 73
Slowo: favor	Czestosc: 73
Slowo: These	Czestosc: 73
Slowo: article	Czestosc: 73
Slowo: Gutenberg	Czestosc: 73
Slowo: established	Czestosc: 72
Slowo: hands	Czestosc: 72
Slowo: equally	Czestosc: 72
Slowo: numerous	Czestosc: 72
Slowo: republican	Czestosc: 72
Slowo: period	Czestosc: 72
Slowo: become	Czestosc: 72
Slowo: perhaps	Czestosc: 72
Slowo: commerce	Czestosc: 72
Slowo: officers	Czestosc: 71
Slowo: take	Czestosc: 71
Slowo: just	Czestosc: 71
Slowo: military	Czestosc: 70
Slowo: articles	Czestosc: 70
Slowo: mode	Czestosc: 70
Slowo: alone	Czestosc: 70
Slowo: natural	Czestosc: 69
Slowo: character	Czestosc: 69
Slowo: council	Czestosc: 69
Slowo: possess	Czestosc: 68
Slowo: civil	Czestosc: 68
Slowo: require	Czestosc: 68
Slowo: contrary	Czestosc: 68
Slowo: order	Czestosc: 67
Slowo: human	Czestosc: 67
Slowo: head	Czestosc: 67
Slowo: considerations	Czestosc: 67
Slowo: work	Czestosc: 67
Slowo: independent	Czestosc: 67
Slowo: policy	Czestosc: 67
Slowo: purpose	Czestosc: 67
Slowo: practice	Czestosc: 66
Slowo: defense	Czestosc: 66
Slowo: nothing	Czestosc: 66
Slowo: seems	Czestosc: 66
Slowo: office	Czestosc: 66
Slowo: small	Czestosc: 66
Slowo: Representatives	Czestosc: 66
Slowo: taken	Czestosc: 66
Slowo: magistrate	Czestosc: 65
Slowo: property	Czestosc: 65
Slowo: making	Czestosc: 65
Slowo: use	Czestosc: 65
Slowo: rule	Czestosc: 64
Slowo: regard	Czestosc: 64
Slowo: evident	Czestosc: 64
Slowo: support	Czestosc: 64
Slowo: render	Czestosc: 64
Slowo: operation	Czestosc: 63
Slowo: possible	Czestosc: 63
Slowo: truth	Czestosc: 63
Slowo: attention	Czestosc: 63
Slowo: instances	Czestosc: 63
